step,actor/distillation/loss,actor/distillation/abs_loss,actor/grad_norm,actor/lr,perf/mfu/actor,timing_s/gen,timing_s/update_actor,timing_s/update_weights,timing_s/step,perf/total_num_tokens,perf/throughput,response_length/mean,response_length/max,response_length/clip_ratio,training/num_turns/mean,training/off_policy/trajectory_staleness/mean,training/off_policy/trajectory_staleness/max
93,0.049028343288227916,0.057565233611967415,0.27389684319496155,1e-06,0.1502807769779248,264.3715196494013,85.7283340068534,4.205050735734403,354.38878683466464,964263,340.1148102810403,27856.09375,30587,0.03125,39.34375,0.15625,1
94,0.049195847648661584,0.05556055548368022,0.2597951889038086,1e-06,0.15293337487402658,192.28107530158013,86.29616045299917,3.543072192929685,282.20416137203574,987531,437.4186914886227,28584.78125,30606,0.03125,36.96875,0.0625,1
95,0.05471519927959889,0.06174984842073172,0.2641719877719879,1e-06,0.15257899832414684,164.24919740203768,85.84346402902156,5.192236226983368,255.36763834767044,979899,479.6511249136411,28353.125,30583,0.03125,36.28125,0.0625,1
96,0.049501567729748785,0.058986908321579296,0.27374181151390076,1e-06,0.15165489500716833,176.49792582262307,81.15553402621299,6.905011194758117,264.6758578559384,922125,435.497313331609,26543.75,30578,0.03125,35.03125,0.15625,1
97,0.04704888560809195,0.05606405099388212,0.3082502484321594,1e-06,0.15167971360183757,132.22204646188766,83.53685162682086,6.264965509995818,222.10437740013003,949682,534.4795604191928,27397.5,30577,0.03125,30.1875,0.125,1
98,0.04241109744179994,0.04960489999502897,0.23187249898910522,1e-06,0.15425634987547784,320.42839617747813,81.89198734145612,9.376143477857113,411.77609929069877,945599,287.0488967271392,27304.15625,30593,0.03125,33.28125,0.125,1
99,0.04543730890145525,0.052663254988146946,0.23845848441123962,1e-06,0.15177978132680975,142.2271565394476,86.6536216372624,3.415062366053462,232.3902547620237,983057,528.7748624650199,28435.34375,30634,0.03125,33.1875,0.0625,1
100,0.045630587555933744,0.052631925791502,0.24408045411109924,1e-06,0.15035030778608652,128.21484270133078,84.64390474837273,3.9244994316250086,216.86482023540884,953415,549.544526726983,27505.28125,30570,0.03125,34.375,0.125,1
101,0.042012986610643566,0.05161899595987052,0.23260317742824554,1e-06,0.15317383357462028,188.29406252782792,80.83849839214236,3.617613011971116,272.84482238907367,929644,425.90326245697366,26787.0625,30609,0.03125,31.9375,0.15625,1
102,0.04523681249702349,0.053507764761646585,0.24060285091400146,1e-06,0.1523047052576066,126.21182344574481,80.12461491767317,4.69329771026969,211.11105976533145,915663,542.1690134435876,26312.03125,30570,0.03125,27.78125,0.15625,1
103,0.04796275880653411,0.05435765280077855,0.268214613199234,1e-06,0.15397984854391583,132.2159779071808,82.02758025377989,6.64316370524466,220.9740940677002,944942,534.5321156235267,27229.375,30578,0.03125,33,0.125,1
104,0.05946731666335836,0.06966169527731836,0.3064512312412262,1e-06,0.15075974830334782,144.24396441411227,80.48024337459356,3.533500307239592,228.34082887880504,912634,499.60075278761946,26221,30562,0.03125,33.65625,0.125,1
105,0.048919606080744416,0.055755347851663827,0.22927792370319366,1e-06,0.15092253528225766,130.21739741787314,83.44914984423667,5.753086603246629,219.5042036138475,943746,537.4304822313568,27232.34375,30587,0.03125,33.25,0.125,1
106,0.05069937830558047,0.05642879637889564,0.25207415223121643,1e-06,0.1537328315860431,136.21875020954758,90.8439634423703,4.2285747565329075,231.37947125546634,1040500,562.1177163828759,30235.46875,30566,0.0625,34.3125,0.03125,1
107,0.05674543872009963,0.06352698929341775,0.28199702501296997,1e-06,0.15102847370919303,128.21497333422303,74.54408683255315,9.123386406339705,211.97568241041154,848706,500.47368072437587,24249.03125,30556,0.03125,30.875,0.28125,1
108,0.051181811781134456,0.05922960756967465,0.25331994891166687,1e-06,0.1506084554974494,160.24810913018882,79.762944993563,6.3595320377498865,246.46051704976708,901071,457.00575633076414,25865.90625,30581,0.03125,33.375,0.1875,1
109,0.05222776019945741,0.06064196093939245,0.2611938416957855,1e-06,0.15172439449621375,202.30505900271237,82.29936221987009,5.3659683503210545,290.0679592117667,937031,403.7980455279758,27005.875,30608,0.03125,34.84375,0.09375,1
110,0.06005570536945015,0.06631793394418699,0.3182249665260315,1e-06,0.15106188507590948,212.30859329551458,72.1410962631926,5.86014598608017,290.3970276694745,821547,353.63094389824147,23364.59375,30574,0.03125,31.71875,0.28125,1
111,0.05498198018176481,0.061971167226632436,0.2785177230834961,1e-06,0.15014450827599765,138.22677264362574,79.42335617635399,4.472543002106249,222.20996402949095,897016,504.5993346415325,25774.0625,30578,0.03125,32.75,0.09375,1
112,0.054935327963903546,0.06293675526976586,0.28140687942504883,1e-06,0.1536544097258703,232.58123384136707,81.0292183784768,5.6689255917444825,319.4029383920133,932757,365.03929984795485,26857.625,30556,0.03125,31.875,0.1875,1
